Rk,Player▲,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alexis Ajinça\ajincal01,2014,2017,4,222,3353,556,1071,0,6,218,268,319,1038,130,83,155,217,549,1330,0.519,0,0.813,15.1,6,4.7,0.6
2,Courtney Alexander\alexaco02,2003,2003,1,66,1360,193,505,19,57,118,146,39,118,79,31,6,68,125,523,0.382,0.333,0.808,20.6,7.9,1.8,1.2
3,Nickeil Alexander-Walker\alexani01,2020,2020,1,41,501,77,227,40,117,17,28,8,80,74,11,7,40,46,211,0.339,0.342,0.607,12.2,5.1,2,1.8
4,Tony Allen\allento01,2018,2018,1,22,273,44,91,4,12,11,21,20,47,9,11,3,19,49,103,0.484,0.333,0.524,12.4,4.7,2.1,0.4
5,Al-Farouq Aminu\aminual01,2012,2014,3,222,5588,609,1333,30,114,278,388,363,1389,283,233,123,295,436,1526,0.457,0.263,0.716,25.2,6.9,6.3,1.3
6,Lou Amundson\amundlo01,2013,2014,2,36,393,34,74,0,0,14,40,52,113,14,18,17,22,76,82,0.459,,0.35,10.9,2.3,3.1,0.4
7,Chris Andersen\anderch01,2005,2008,3,104,2034,249,463,0,3,182,297,200,574,77,22,145,91,234,680,0.538,0,0.613,19.6,6.5,5.5,0.7
8,David Andersen\anderda03,2011,2011,1,29,223,33,74,5,13,7,15,12,50,6,2,6,14,29,78,0.446,0.385,0.467,7.7,2.7,1.7,0.2
9,Kenny Anderson\anderke01,2003,2003,1,23,446,61,150,1,2,16,22,14,45,77,18,4,42,43,139,0.407,0.5,0.727,19.4,6,2,3.3
10,Ryan Anderson\anderry01,2013,2016,4,230,6981,1315,3127,533,1438,539,621,496,1352,242,123,83,269,448,3702,0.421,0.371,0.868,30.4,16.1,5.9,1.1
11,Trevor Ariza\arizatr01,2011,2012,2,116,3950,471,1165,111,358,217,299,102,623,297,189,56,194,253,1270,0.404,0.31,0.726,34.1,10.9,5.4,2.6
